epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66785,1.22698,3.81115,1.25658,0.7649,0.28096,0.41608,0.28506,0.94273,2.09856,1.17928,0.00013211,0.00013211,0.00013211
2,16.7994,1.11391,2.24757,1.1585,0.85147,0.65638,0.81626,0.56517,0.88447,1.31147,1.20146,0.000264129,0.000264129,0.000264129
3,24.8797,1.02871,1.66766,1.12259,0.85069,0.61208,0.77349,0.5215,0.89453,1.18243,1.15531,0.000394829,0.000394829,0.000394829
4,33.0282,1.01817,1.46976,1.10838,0.80673,0.72501,0.84641,0.57178,0.97786,0.83032,1.20674,0.00039406,0.00039406,0.00039406
5,40.9697,0.99024,1.30819,1.0901,0.69845,0.87285,0.82574,0.56339,0.96003,1.04646,1.27583,0.00039208,0.00039208,0.00039208
6,49.0888,0.98248,1.2114,1.08767,0.75331,0.86673,0.9017,0.62768,0.88972,0.83001,1.18129,0.0003901,0.0003901,0.0003901
7,56.7535,0.93941,1.11057,1.06433,0.65455,0.95116,0.91442,0.65141,0.89003,0.77249,1.13211,0.00038812,0.00038812,0.00038812
8,64.5176,0.94545,1.05553,1.06859,0.81215,0.98462,0.97466,0.6978,0.94333,0.76995,1.11579,0.00038614,0.00038614,0.00038614
9,72.298,0.9263,0.9922,1.06137,0.90506,0.86485,0.94945,0.66718,0.93379,0.75829,1.11728,0.00038416,0.00038416,0.00038416
10,80.0007,0.91082,0.95236,1.05449,0.7802,0.88205,0.88586,0.62555,0.88171,0.67429,1.1352,0.00038218,0.00038218,0.00038218
11,87.6436,0.89974,0.91471,1.05556,0.83549,0.98462,0.96565,0.68858,0.86719,0.64228,1.09473,0.0003802,0.0003802,0.0003802
12,95.2508,0.88719,0.87146,1.0472,0.8618,0.90769,0.97297,0.68908,0.93649,0.56951,1.10904,0.00037822,0.00037822,0.00037822
13,102.975,0.87691,0.85999,1.055,0.80668,0.98462,0.96842,0.68771,0.86268,0.57404,1.14176,0.00037624,0.00037624,0.00037624
14,110.594,0.87583,0.82305,1.04167,0.83562,0.9562,0.95429,0.70516,0.84001,0.73096,1.08239,0.00037426,0.00037426,0.00037426
15,118.177,0.86739,0.79372,1.02893,0.88336,0.90649,0.93507,0.68562,0.89175,0.83074,1.16835,0.00037228,0.00037228,0.00037228
16,125.778,0.85988,0.77875,1.03935,0.77629,0.93044,0.94567,0.63474,0.87855,0.8229,1.15628,0.0003703,0.0003703,0.0003703
17,133.374,0.84706,0.76065,1.02517,0.76581,0.97608,0.97639,0.69953,0.91942,0.70766,1.11809,0.00036832,0.00036832,0.00036832
18,141.093,0.83773,0.71221,1.01733,0.79699,0.95625,0.94024,0.69475,0.92239,0.62941,1.17614,0.00036634,0.00036634,0.00036634
19,148.741,0.84116,0.7213,1.02242,0.82494,0.95308,0.90812,0.66373,0.88965,0.56295,1.13731,0.00036436,0.00036436,0.00036436
20,156.346,0.83652,0.69728,1.0188,0.86369,0.95367,0.9626,0.68206,0.92466,0.63469,1.14497,0.00036238,0.00036238,0.00036238
21,163.961,0.82628,0.68162,1.0096,0.75402,0.98462,0.96872,0.69302,0.93513,0.63089,1.14495,0.0003604,0.0003604,0.0003604
22,171.564,0.82096,0.67356,1.01432,0.75657,0.98254,0.94695,0.67693,0.84984,0.60024,1.13696,0.00035842,0.00035842,0.00035842
23,179.228,0.81821,0.65983,1.00643,0.8586,0.93839,0.96756,0.69782,0.8589,0.71676,1.13713,0.00035644,0.00035644,0.00035644
24,186.934,0.81727,0.64497,1.0108,0.88854,0.98462,0.97282,0.69528,0.90028,0.58251,1.15114,0.00035446,0.00035446,0.00035446
25,194.527,0.80106,0.63839,1.00529,0.79095,0.98462,0.97333,0.71889,0.89743,0.51645,1.15101,0.00035248,0.00035248,0.00035248
26,202.152,0.80357,0.62346,1.00351,0.87623,0.98114,0.94991,0.68932,0.85215,0.54852,1.15412,0.0003505,0.0003505,0.0003505
27,209.82,0.80998,0.62807,1.01585,0.81362,0.96538,0.96229,0.72383,0.8314,0.61852,1.11032,0.00034852,0.00034852,0.00034852
28,217.501,0.80124,0.62143,0.99856,0.85327,0.95463,0.96728,0.73703,0.89061,0.56652,1.19197,0.00034654,0.00034654,0.00034654
29,225.107,0.79226,0.59747,0.9971,0.89467,0.96739,0.94945,0.67153,0.88154,0.5261,1.17959,0.00034456,0.00034456,0.00034456
30,232.725,0.78642,0.60674,0.99367,0.90709,0.88857,0.97852,0.70109,0.87734,0.68648,1.11511,0.00034258,0.00034258,0.00034258
31,240.367,0.77787,0.59238,0.99476,0.83514,0.9414,0.95428,0.71029,0.84634,0.59308,1.12882,0.0003406,0.0003406,0.0003406
32,247.99,0.77424,0.5895,0.99141,0.78511,0.975,0.95631,0.6976,0.84471,0.56361,1.10012,0.00033862,0.00033862,0.00033862
33,255.573,0.78021,0.58462,0.99697,0.93043,0.96377,0.97372,0.70424,0.85794,0.54511,1.13376,0.00033664,0.00033664,0.00033664
34,263.241,0.77433,0.5624,0.99268,0.8911,0.94178,0.96002,0.72269,0.85164,0.65238,1.11066,0.00033466,0.00033466,0.00033466
35,270.916,0.76671,0.56669,0.98611,0.8861,0.96381,0.96753,0.75264,0.86841,0.55984,1.1391,0.00033268,0.00033268,0.00033268
36,278.54,0.76601,0.55501,0.99018,0.84337,0.98462,0.96294,0.70536,0.88153,0.52135,1.19103,0.0003307,0.0003307,0.0003307
37,286.228,0.77046,0.56957,0.99161,0.87496,0.95946,0.96617,0.7219,0.88257,0.57136,1.12919,0.00032872,0.00032872,0.00032872
38,293.943,0.76828,0.55771,0.99324,0.86414,0.92475,0.94201,0.69797,0.86995,0.8216,1.13391,0.00032674,0.00032674,0.00032674
39,301.628,0.75741,0.54657,0.99318,0.8317,0.97374,0.95397,0.72304,0.86574,0.70685,1.11361,0.00032476,0.00032476,0.00032476
40,309.298,0.74936,0.54706,0.98646,0.8178,0.98462,0.98365,0.74827,0.83152,0.54559,1.07846,0.00032278,0.00032278,0.00032278
41,316.906,0.75004,0.52931,0.97961,0.84485,0.95915,0.96212,0.72346,0.84093,0.5401,1.08481,0.0003208,0.0003208,0.0003208
42,324.531,0.73872,0.52908,0.98133,0.83057,0.98342,0.96369,0.71786,0.93254,0.55208,1.11689,0.00031882,0.00031882,0.00031882
43,332.301,0.7452,0.5315,0.98478,0.86864,0.96588,0.93959,0.69651,0.91412,0.67679,1.15249,0.00031684,0.00031684,0.00031684
44,339.938,0.73896,0.51688,0.97549,0.87252,0.94527,0.94281,0.72917,0.8879,0.62165,1.08953,0.00031486,0.00031486,0.00031486
45,347.609,0.74169,0.51779,0.97523,0.89161,0.9568,0.96807,0.73656,0.85629,0.6672,1.09919,0.00031288,0.00031288,0.00031288
46,355.387,0.72292,0.51348,0.97325,0.90529,0.96249,0.97056,0.69704,0.9039,0.67715,1.16912,0.0003109,0.0003109,0.0003109
47,363.195,0.73258,0.51055,0.97553,0.91056,0.92175,0.95765,0.70339,0.86123,0.50468,1.12406,0.00030892,0.00030892,0.00030892
48,371.039,0.73175,0.50399,0.97511,0.89287,0.93288,0.9473,0.73731,0.87051,0.7214,1.13587,0.00030694,0.00030694,0.00030694
49,378.808,0.72528,0.49847,0.97134,0.8832,0.96249,0.9441,0.71642,0.84151,0.50813,1.12083,0.00030496,0.00030496,0.00030496
50,386.498,0.71816,0.50076,0.96655,0.8551,0.96563,0.95376,0.73443,0.7722,0.50963,1.13968,0.00030298,0.00030298,0.00030298
51,394.183,0.71949,0.49789,0.96806,0.88343,0.93479,0.95431,0.71542,0.81466,0.53111,1.12415,0.000301,0.000301,0.000301
52,401.866,0.70887,0.48715,0.96207,0.8521,0.98462,0.95376,0.7324,0.83611,0.54417,1.09247,0.00029902,0.00029902,0.00029902
53,409.582,0.72527,0.49418,0.9648,0.86714,0.93912,0.95251,0.68399,0.84285,0.60465,1.12219,0.00029704,0.00029704,0.00029704
54,417.243,0.70348,0.49191,0.9632,0.87872,0.95452,0.95196,0.70866,0.82654,0.49301,1.11335,0.00029506,0.00029506,0.00029506
55,424.991,0.70008,0.47601,0.96176,0.91442,0.95255,0.97076,0.74013,0.83632,0.50964,1.15446,0.00029308,0.00029308,0.00029308
56,432.619,0.71051,0.48441,0.97016,0.88285,0.96185,0.95572,0.73535,0.84604,0.55153,1.13329,0.0002911,0.0002911,0.0002911
57,440.254,0.70549,0.48346,0.96145,0.80082,0.98462,0.96955,0.74179,0.83003,0.48436,1.10372,0.00028912,0.00028912,0.00028912
58,447.884,0.70321,0.47645,0.96133,0.92151,0.96344,0.96699,0.72799,0.88124,0.61932,1.17793,0.00028714,0.00028714,0.00028714
59,455.586,0.69875,0.47111,0.95561,0.89585,0.975,0.96691,0.75179,0.89884,0.5803,1.14197,0.00028516,0.00028516,0.00028516
60,463.286,0.69946,0.47771,0.96149,0.8988,0.94661,0.94162,0.73748,0.87523,0.8778,1.16711,0.00028318,0.00028318,0.00028318
61,470.932,0.69698,0.47704,0.95698,0.88096,0.96915,0.96007,0.75659,0.83905,0.64684,1.12647,0.0002812,0.0002812,0.0002812
62,478.683,0.6955,0.46522,0.96287,0.89616,0.968,0.96785,0.76338,0.85802,0.56136,1.12909,0.00027922,0.00027922,0.00027922
63,486.351,0.70121,0.4724,0.96703,0.87181,0.97768,0.95708,0.74381,0.82292,0.52937,1.12046,0.00027724,0.00027724,0.00027724
64,494.063,0.68869,0.46238,0.95511,0.82389,0.98462,0.946,0.73146,0.85476,0.48629,1.18118,0.00027526,0.00027526,0.00027526
65,501.828,0.68109,0.45314,0.95434,0.88585,0.97154,0.92838,0.707,0.881,0.65965,1.21178,0.00027328,0.00027328,0.00027328
66,509.52,0.69069,0.46438,0.95976,0.88538,0.97608,0.94922,0.73212,0.87213,0.49889,1.16643,0.0002713,0.0002713,0.0002713
67,517.257,0.67398,0.45255,0.94957,0.90532,0.97929,0.94538,0.72801,0.85862,0.49436,1.17107,0.00026932,0.00026932,0.00026932
68,524.946,0.67365,0.44933,0.95353,0.92278,0.95038,0.97142,0.7251,0.89173,0.68829,1.11753,0.00026734,0.00026734,0.00026734
